Type,Start,End,Duration,Total Energy (kcal),Active Energy (kcal),Max Heart Rate (bpm),Avg Heart Rate (bpm),Distance (mi),Avg Speed(mi/hr),Step Count (count),Step Cadence (spm),Swimming Stroke Count (count),Swim Stoke Cadence (spm),Flights Climbed (count),Elevation Ascended (ft),Elevation Descended (ft)
Running,2023-05-14 09:00,2023-05-14 09:43,00:40:18,672.21,607.21,189,174.33,6.03,8.98,7079,2.93,,,,,
Cycling,2023-05-13 14:01,2023-05-13 14:32,00:17:47,95.19,31.94,125,97.84,1.06,3.56,390,0.365,,,,,
Running,2023-05-11 13:19,2023-05-11 13:49,00:29:20,472.9,407.58,181,174.03,4.02,8.22,4823,2.74,,,3.0,61.68,
Functional Strength Training,2023-05-10 16:30,2023-05-10 17:10,00:40:06,316.82,256.08,147,128.48,,,1117,0.464,,,,,
Yoga,2023-05-09 19:14,2023-05-09 20:12,00:57:55,440.55,339.81,128,102.76,,,155,0.045,,,,,
Functional Strength Training,2023-05-09 13:06,2023-05-09 13:43,00:36:44,301.26,245.51,166,133.91,,,1045,0.474,,,,,
Cycling,2023-05-08 17:41,2023-05-08 18:23,00:41:39,215.73,133.07,123,102.02,5.57,8.02,290,0.116,,,,70.41,
Running,2023-05-08 11:47,2023-05-08 12:11,00:24:10,403.74,354.19,190,171.67,3.54,8.78,4038,2.78,,,1.0,16.5,
Cycling,2023-05-07 07:32,2023-05-07 10:01,02:28:43,739.94,599.61,,,18.69,7.54,10395,1.16,,,55.0,,
Cycling,2023-05-06 14:24,2023-05-06 16:05,01:27:50,833.15,663.8,148,125.75,17.89,12.22,2829,0.537,,,,396.1,
Walking,2023-05-04 20:13,2023-05-04 20:50,00:37:21,178.09,100.62,115,103.18,1.44,2.31,2044,0.912,,,,,
Functional Strength Training,2023-05-04 15:33,2023-05-04 16:15,00:41:20,350.13,266.93,171,134.32,,,1063,0.428,,,,,
Functional Strength Training,2023-05-03 16:41,2023-05-03 17:21,00:40:55,330.72,268.76,160,131.93,,,951,0.387,,,,,
